County,State,crime_rate_per_100000,INflow,OUTflow,NET in,GROSS out
st. louis city,mo,1791.995377,26054.0,32655.0,-8636.0,56674.0
crittenden county,ar,1754.914968,2240.0,4135.0,-1933.0,6337.0
alexander county,il,1664.700485,2530.0,2944.0,-611.0,5277.0
kenedy county,tx,1456.31068,1.0,32.0,-31.0,33.0
de soto parish,la,1447.40243,1189.0,1148.0,12.0,2308.0
baltimore city,md,1419.537569,40638.0,46472.0,-9428.0,83516.0
marlboro county,sc,1253.437132,1558.0,1634.0,-130.0,3138.0
storey county,nv,1217.656012,575.0,203.0,372.0,778.0
dillon county,sc,1165.583272,1376.0,855.0,493.0,2203.0
philadelphia county,pa,1150.29633,79835.0,81524.0,-13015.0,150033.0
pershing county,nv,1148.756725,758.0,302.0,456.0,1060.0
northwest arctic borough,ak,1014.964216,374.0,624.0,-254.0,994.0
pemiscot county,mo,998.7095326,790.0,1148.0,-358.0,1938.0
iberville parish,la,974.0162436,3163.0,2226.0,920.0,5372.0
pulaski county,ar,959.9165823,44187.0,34640.0,7261.0,76541.0
miller county,ar,956.1771347,5469.0,3852.0,1581.0,9285.0
muskogee county,ok,954.4400666,5171.0,4775.0,252.0,9802.0
barnwell county,sc,953.9310095,1579.0,1408.0,138.0,2954.0
tangipahoa parish,la,952.8593755,6704.0,5825.0,728.0,12378.0
dillingham census area,ak,938.1237525,266.0,363.0,-173.0,553.0
dougherty county,ga,930.4176661,6562.0,6278.0,104.0,12660.0
genesee county,mi,922.7783984,16249.0,21038.0,-5380.0,36696.0
macon county,al,919.341731,11352.0,9952.0,972.0,20876.0
milwaukee county,wi,912.6349471,38677.0,44351.0,-9246.0,79456.0
greene county,al,903.4766697,58923.0,49068.0,6825.0,104961.0
rock county,mn,892.8571429,7286.0,7071.0,-176.0,13966.0
san joaquin county,ca,887.1644385,37046.0,31232.0,2021.0,64485.0
pottawattamie county,ia,873.5225606,4494.0,6115.0,-1872.0,10358.0
nolan county,tx,871.1844118,1193.0,1565.0,-490.0,2640.0
kodiak island borough,ak,856.0311284,1653.0,1702.0,-260.0,3144.0
winnebago county,il,854.9331535,27197.0,23030.0,2459.0,48519.0
suffolk county,ma,831.2342903,121655.0,119793.0,-17658.0,221928.0
saginaw county,mi,828.830479,8527.0,9166.0,-1055.0,17277.0
dallas county,al,828.6503477,151431.0,157364.0,-27799.0,286929.0
anchorage municipality,ak,824.7217146,19930.0,26117.0,-8658.0,43576.0
phillips county,ar,818.6675817,1157.0,1870.0,-735.0,3005.0
sangamon county,il,817.9969369,8075.0,8935.0,-1391.0,16479.0
robeson county,nc,809.8427036,4190.0,4921.0,-981.0,8861.0
meade county,ks,805.8945429,7428.0,5167.0,1792.0,12126.0
jefferson county,al,798.3574913,200796.0,191323.0,-2882.0,379764.0
orleans parish,la,782.1184796,22831.0,28117.0,-7328.0,48906.0
ector county,tx,781.9089826,11090.0,11390.0,-881.0,21899.0
avoyelles parish,la,777.2585293,1629.0,1767.0,-250.0,3284.0
rapides parish,la,773.792033,6300.0,5867.0,225.0,11959.0
mississippi county,ar,763.9897241,3020.0,2975.0,-13.0,5937.0
colleton county,sc,762.1467132,707.0,1749.0,-1048.0,2450.0
modoc county,ca,754.3456871,724.0,778.0,-62.0,1494.0
alameda county,ca,753.6935735,104727.0,102970.0,-18751.0,187189.0
darlington county,sc,746.3016118,3019.0,3223.0,-256.0,6190.0
red river parish,la,742.0733078,304.0,122.0,182.0,426.0
lubbock county,tx,740.6920961,30745.0,18328.0,10592.0,47248.0
socorro county,nm,739.3084622,813.0,1500.0,-723.0,2277.0
bernalillo county,nm,738.4818924,32419.0,34569.0,-5618.0,63520.0
shasta county,ca,725.2206951,9651.0,9022.0,-29.0,18015.0
north slope borough,ak,722.6925459,925.0,568.0,325.0,1461.0
hinds county,ms,721.5219335,13306.0,15450.0,-2651.0,28249.0
cibola county,nm,720.6877629,2217.0,1277.0,842.0,3396.0
tulsa county,ok,719.1412721,37967.0,35358.0,27.0,70743.0
putnam county,fl,717.8582747,23647.0,20971.0,1715.0,43657.0
san francisco county,ca,701.4217104,62927.0,72854.0,-21393.0,124315.0
bamberg county,sc,699.9351912,1040.0,1240.0,-266.0,2214.0
merced county,ca,696.3544912,15245.0,12699.0,1165.0,26563.0
jim wells county,tx,695.7773512,1632.0,2682.0,-1162.0,4202.0
oklahoma county,ok,694.8738489,47391.0,43595.0,460.0,87650.0
mckinley county,nm,694.3307688,2206.0,2985.0,-897.0,5073.0
alpine county,ca,690.2502157,114.0,126.0,-12.0,240.0
dyer county,tn,688.2474551,1765.0,2312.0,-558.0,4066.0
guadalupe county,nm,681.1689739,12985.0,11725.0,668.0,24118.0
mcdonald county,mo,673.8186009,1271.0,1607.0,-375.0,2839.0
taylor county,fl,673.754211,18851.0,17603.0,-216.0,34990.0
wayne county,ga,668.2847358,97283.0,98462.0,-10918.0,186006.0
east baton rouge parish,la,667.0754469,23932.0,22840.0,-616.0,45064.0
leon county,fl,664.1948589,31391.0,23707.0,5911.0,53325.0
lander county,nv,663.1299735,309.0,442.0,-176.0,708.0
leflore county,ms,661.2459265,522.0,1445.0,-934.0,1956.0
