County,State,INflow,OUTflow,NET in,GROSS out
Abbeville County,South Carolina,1867.0,1507.0,346.0,3360.0
Acadia Parish,Louisiana,3281.0,3773.0,-526.0,7020.0
Accomack County,Virginia,1264.0,3577.0,-2354.0,4800.0
Ada County,Idaho,32954.0,25475.0,5876.0,56826.0
Adair County,Iowa,5776.0,7129.0,-1551.0,12707.0
Adams County,Colorado,60123.0,64467.0,-8684.0,120250.0
Addison County,Vermont,2795.0,2557.0,17.0,5131.0
Adjuntas Municipio,Puerto Rico,374.0,909.0,-535.0,1283.0
Aguada Municipio,Puerto Rico,353.0,2042.0,-1715.0,2369.0
Aguadilla Municipio,Puerto Rico,2490.0,2124.0,271.0,4519.0
Aguas Buenas Municipio,Puerto Rico,356.0,654.0,-301.0,1007.0
Aibonito Municipio,Puerto Rico,313.0,878.0,-565.0,1191.0
Aiken County,South Carolina,10057.0,7881.0,2026.0,17788.0
Aitkin County,Minnesota,893.0,1489.0,-604.0,2374.0
Alachua County,Florida,28455.0,24100.0,1297.0,49497.0
Alamance County,North Carolina,10167.0,7913.0,1524.0,17350.0
Alameda County,California,104727.0,102970.0,-18751.0,187189.0
Alamosa County,Colorado,1929.0,1308.0,577.0,3193.0
Albany County,New York,28991.0,27577.0,-1162.0,53992.0
Albemarle County,Virginia,13547.0,10479.0,2244.0,23202.0
Alcona County,Michigan,580.0,1554.0,-980.0,2128.0
Alcorn County,Mississippi,1280.0,1533.0,-322.0,2744.0
Aleutians East Borough,Alaska,381.0,871.0,-530.0,1212.0
Aleutians West Census Area,Alaska,630.0,326.0,184.0,836.0
Alexander County,Illinois,2530.0,2944.0,-611.0,5277.0
Alexandria City,Virginia,21597.0,21106.0,-2073.0,40139.0
Alfalfa County,Oklahoma,451.0,717.0,-277.0,1157.0
Alger County,Michigan,918.0,349.0,559.0,1257.0
Allamakee County,Iowa,347.0,661.0,-342.0,980.0
Allegan County,Michigan,5633.0,7593.0,-2135.0,13051.0
Allegany County,Maryland,7630.0,6469.0,958.0,13896.0
Alleghany County,North Carolina,697.0,1128.0,-438.0,1818.0
Allegheny County,Pennsylvania,57964.0,54375.0,-3804.0,104946.0
Allen County,Indiana,23872.0,25322.0,-3630.0,47014.0
Allen Parish,Louisiana,2000.0,1995.0,-42.0,3948.0
Allendale County,South Carolina,786.0,523.0,216.0,1262.0
Alpena County,Michigan,1418.0,1718.0,-391.0,3045.0
Alpine County,California,114.0,126.0,-12.0,240.0
Amador County,California,2918.0,2492.0,409.0,5393.0
Amelia County,Virginia,1288.0,848.0,428.0,2124.0
Amherst County,Virginia,2515.0,1919.0,496.0,4334.0
Amite County,Mississippi,411.0,514.0,-117.0,911.0
Anchorage Municipality,Alaska,19930.0,26117.0,-8658.0,43576.0
Anderson County,Kansas,27078.0,25498.0,845.0,51841.0
Andrew County,Missouri,694.0,1189.0,-502.0,1876.0
Andrews County,Texas,1233.0,1004.0,190.0,2198.0
Androscoggin County,Maine,5727.0,6249.0,-869.0,11629.0
Angelina County,Texas,5908.0,5124.0,601.0,10849.0
Anne Arundel County,Maryland,42572.0,38147.0,1183.0,77477.0
Anoka County,Minnesota,22647.0,23496.0,-1553.0,45439.0
Anson County,North Carolina,1369.0,1697.0,-415.0,2979.0
Antelope County,Nebraska,266.0,353.0,-105.0,601.0
Antrim County,Michigan,1591.0,1400.0,166.0,2966.0
Apache County,Arizona,2332.0,5865.0,-3593.0,8137.0
Appanoose County,Iowa,650.0,1088.0,-440.0,1736.0
Appling County,Georgia,291.0,2538.0,-2254.0,2822.0
Appomattox County,Virginia,576.0,597.0,-41.0,1153.0
Aransas County,Texas,2173.0,1853.0,44.0,3750.0
Arapahoe County,Colorado,64156.0,58947.0,993.0,118887.0
Archer County,Texas,535.0,533.0,-12.0,1054.0
Archuleta County,Colorado,1020.0,644.0,315.0,1603.0
Arecibo Municipio,Puerto Rico,2465.0,3446.0,-1140.0,5752.0
Arenac County,Michigan,809.0,992.0,-191.0,1793.0
Arkansas County,Arkansas,634.0,2189.0,-1576.0,2802.0
Arlington County,Virginia,30463.0,32355.0,-6849.0,57861.0
Armstrong County,Pennsylvania,1784.0,3177.0,-1426.0,4928.0
Aroostook County,Maine,2009.0,1877.0,67.0,3821.0
Arroyo Municipio,Puerto Rico,812.0,700.0,112.0,1512.0
Arthur County,Nebraska,26.0,28.0,-3.0,53.0
Ascension Parish,Louisiana,6220.0,4709.0,1257.0,10675.0
Ashe County,North Carolina,646.0,1045.0,-504.0,1586.0
Ashland County,Ohio,4358.0,3965.0,235.0,8165.0
Ashley County,Arkansas,334.0,1189.0,-872.0,1506.0
Ashtabula County,Ohio,4720.0,3392.0,1276.0,8060.0
Asotin County,Washington,2389.0,1388.0,883.0,3659.0
Assumption Parish,Louisiana,1329.0,1110.0,219.0,2439.0
Atascosa County,Texas,2078.0,2716.0,-661.0,4771.0
Atchison County,Kansas,1298.0,1465.0,-185.0,2745.0
Athens County,Ohio,12034.0,5085.0,6368.0,16538.0
Atkinson County,Georgia,140.0,500.0,-360.0,640.0
Atlantic County,New Jersey,11898.0,12571.0,-1896.0,23246.0
Atoka County,Oklahoma,1305.0,1501.0,-202.0,2800.0
Attala County,Mississippi,768.0,371.0,397.0,1139.0
Audrain County,Missouri,2354.0,1576.0,627.0,3779.0
Audubon County,Iowa,279.0,464.0,-187.0,741.0
Auglaize County,Ohio,2170.0,2198.0,-38.0,4358.0
Augusta County,Virginia,5472.0,4486.0,744.0,9716.0
Aurora County,South Dakota,149.0,947.0,-804.0,1090.0
Austin County,Texas,1374.0,1852.0,-495.0,3209.0
Autauga County,Alabama,3655.0,6501.0,-3126.0,9876.0
Avery County,North Carolina,1854.0,1087.0,756.0,2930.0
Avoyelles Parish,Louisiana,1629.0,1767.0,-250.0,3284.0
Añasco Municipio,Puerto Rico,335.0,1435.0,-1100.0,1770.0
Baca County,Colorado,202.0,145.0,43.0,333.0
Bacon County,Georgia,530.0,676.0,-167.0,1185.0
Bailey County,Texas,274.0,394.0,-120.0,668.0
Baker County,Florida,5504.0,3669.0,1818.0,9156.0
Baldwin County,Alabama,15249.0,11811.0,2694.0,26316.0
Ballard County,Kentucky,335.0,496.0,-164.0,828.0
Baltimore City,Maryland,40638.0,46472.0,-9428.0,83516.0
Baltimore County,Maryland,46942.0,43108.0,-1498.0,84718.0
Bamberg County,South Carolina,1040.0,1240.0,-266.0,2214.0
Bandera County,Texas,1690.0,1355.0,184.0,2894.0
Banks County,Georgia,797.0,967.0,-213.0,1721.0
Banner County,Nebraska,12.0,97.0,-85.0,109.0
Bannock County,Idaho,7033.0,6352.0,398.0,13102.0
Baraga County,Michigan,632.0,590.0,41.0,1221.0
Barber County,Kansas,221.0,119.0,98.0,336.0
Barbour County,Alabama,2413.0,3177.0,-836.0,5518.0
Barceloneta Municipio,Puerto Rico,684.0,1657.0,-973.0,2341.0
Barnes County,North Dakota,805.0,1091.0,-299.0,1883.0
Barnstable County,Massachusetts,9971.0,10665.0,-1740.0,19590.0
Barnwell County,South Carolina,1579.0,1408.0,138.0,2954.0
Barranquitas Municipio,Puerto Rico,510.0,1005.0,-495.0,1515.0
Barren County,Kentucky,2374.0,2493.0,-141.0,4845.0
Barron County,Wisconsin,1933.0,2596.0,-755.0,4437.0
Barrow County,Georgia,6492.0,5978.0,183.0,12139.0
Barry County,Michigan,5791.0,4915.0,725.0,10555.0
Bartholomew County,Indiana,6052.0,4597.0,-64.0,9130.0
Barton County,Kansas,1893.0,2607.0,-846.0,4368.0
Bartow County,Georgia,7185.0,6079.0,894.0,13052.0
Bastrop County,Texas,7182.0,5799.0,1141.0,12739.0
Bates County,Missouri,1326.0,1040.0,269.0,2349.0
Bath County,Kentucky,1039.0,962.0,18.0,1942.0
Baxter County,Arkansas,2340.0,2137.0,116.0,4390.0
Bay County,Florida,19468.0,20823.0,-2268.0,39378.0
Bayamón Municipio,Puerto Rico,7769.0,9362.0,-1740.0,16984.0
Bayfield County,Wisconsin,629.0,656.0,-47.0,1265.0
Baylor County,Texas,193.0,230.0,-37.0,423.0
Beadle County,South Dakota,1213.0,884.0,294.0,2062.0
Bear Lake County,Idaho,401.0,364.0,-1.0,727.0
Beaufort County,North Carolina,15478.0,16420.0,-1759.0,31081.0
Beauregard Parish,Louisiana,2720.0,2227.0,243.0,4697.0
Beaver County,Oklahoma,8180.0,8793.0,-895.0,16691.0
Beaverhead County,Montana,1008.0,1604.0,-635.0,2573.0
Becker County,Minnesota,1624.0,2300.0,-773.0,3827.0
Beckham County,Oklahoma,2692.0,2097.0,547.0,4741.0
Bedford County,Pennsylvania,9310.0,9560.0,-680.0,18440.0
Bee County,Texas,3318.0,2477.0,791.0,5745.0
Belknap County,New Hampshire,3724.0,4862.0,-1149.0,8575.0
Bell County,Kentucky,40081.0,31538.0,4780.0,67856.0
Belmont County,Ohio,2230.0,2915.0,-711.0,5119.0
Beltrami County,Minnesota,4453.0,2804.0,1549.0,7157.0
Ben Hill County,Georgia,662.0,1025.0,-382.0,1668.0
Benewah County,Idaho,581.0,728.0,-154.0,1302.0
Bennett County,South Dakota,125.0,190.0,-74.0,306.0
Bennington County,Vermont,2268.0,1671.0,485.0,3827.0
Benson County,North Dakota,200.0,287.0,-95.0,479.0
Bent County,Colorado,406.0,373.0,2.0,748.0
Benton County,Arkansas,50555.0,46282.0,275.0,92839.0
Benzie County,Michigan,941.0,1203.0,-301.0,2105.0
Bergen County,New Jersey,39195.0,43562.0,-11370.0,75754.0
Berkeley County,South Carolina,31288.0,21501.0,8584.0,51586.0
Berks County,Pennsylvania,18894.0,16753.0,981.0,34487.0
Berkshire County,Massachusetts,5746.0,5241.0,-41.0,10441.0
Bernalillo County,New Mexico,32419.0,34569.0,-5618.0,63520.0
Berrien County,Georgia,10160.0,9139.0,412.0,18690.0
Bertie County,North Carolina,1357.0,1088.0,187.0,2363.0
